Reach,Taxon,Overall,2012,2013,2014
Knoxville,Corydalus cornutus,59,0,0,59
Knoxville,Cnephia,56,6,50,0
Knoxville,Corydalus,55,38,17,0
Knoxville,Leucrocuta,55,9,19,27
Knoxville,Orthotrichia,53,0,53,0
Knoxville,Heterocloeon,52,3,27,22
Knoxville,Maccaffertium,49,5,18,26
Knoxville,Protoptila,48,0,0,48
Knoxville,Chimarra obscura,46,0,0,46
Knoxville,Optioservus,45,15,17,13
Knoxville,Chimarra,42,21,12,9
Knoxville,Psephenus,42,36,6,0
Knoxville,Baetis intercalaris,40,0,0,40
Knoxville,Agnetina,35,24,6,5
Knoxville,Simulium,23,14,0,9
Knoxville,Orthocladius,21,0,0,21
Knoxville,Acroneuria,20,6,10,4
Knoxville,Neureclipsis,20,4,6,10
Knoxville,Macrostemum,19,5,8,6
Knoxville,Oligochaeta,18,7,11,0
Knoxville,Leptoxis carinata,17,0,0,17
Knoxville,Psephenus herricki,17,0,0,17
Knoxville,Teloganopsis,16,8,8,0
Knoxville,Microcylloepus,14,0,2,12
Knoxville,Baetidae,13,9,1,3
Knoxville,Glossosomatidae,12,12,0,0
Knoxville,Orthocladiinae,12,0,12,0
Knoxville,Hydropsyche phalerata,11,0,0,11
Knoxville,Microtendipes pedellus,11,0,0,11
Knoxville,Polypedilum flavum,11,0,0,11
Knoxville,Agnetina capitata,10,0,0,10
Knoxville,Petrophila,10,2,3,5
Knoxville,Plauditus,10,3,1,6
Knoxville,Serratella deficiens,10,0,0,10
Knoxville,Sialis,9,3,1,5
Knoxville,Bithynia tentaculata,8,0,8,0
Knoxville,Caenis,8,1,0,7
Knoxville,Chironomidae,8,8,0,0
Knoxville,Acentrella,6,2,4,0
Knoxville,Heptageniidae,6,0,6,0
Knoxville,Chimarra socia,5,0,0,5
Knoxville,Chironomini,5,0,5,0
Knoxville,Hydroptila,5,0,3,2
Knoxville,Procloeon,5,5,0,0
Knoxville,Serratella,5,0,5,0
Knoxville,Acroneuria abnormis,4,0,0,4
Knoxville,Agapetus,4,4,0,0
Knoxville,Amnicola,4,0,4,0
Knoxville,Dubiraphia,4,1,2,1
Knoxville,Gomphus,4,0,2,2
Knoxville,Lumbricina,4,0,0,4
Knoxville,Lumbriculidae,4,0,0,4
Knoxville,Sphaeriidae,4,0,3,1
Knoxville,Turbellaria,4,0,0,4
Knoxville,Branchiura sowerbyi,3,0,0,3
Knoxville,Ectopria,3,2,0,1
Knoxville,Hetaerina,3,1,1,1
Knoxville,Nanocladius,3,0,0,3
Knoxville,Optioservus trivittatus,3,0,0,3
Knoxville,Physa,3,1,2,0
Knoxville,Pseudocloeon,3,2,0,1
Knoxville,Tanytarsus,3,0,0,3
Knoxville,Thienemannimyia,3,0,0,3
Knoxville,Acerpenna,2,1,1,0
Knoxville,Elmidae,2,2,0,0
Knoxville,Ephemeroptera,2,0,2,0
Knoxville,Gomphidae,2,0,0,2
Knoxville,Helicopsyche borealis,2,0,0,2
Knoxville,Hirudinea,2,1,1,0
Knoxville,Hydroptilidae,2,0,1,1
Knoxville,Limnodrilus hoffmeisteri,2,0,0,2
Knoxville,Macronychus,2,2,0,0
Knoxville,Macronychus glabratus,2,0,0,2
Knoxville,Neoperla,2,0,2,0
Knoxville,Ochrotrichia,2,0,2,0
Knoxville,Planaria,2,2,0,0
Knoxville,Pycnopsyche,2,2,0,0
Knoxville,Sphaerium,2,1,0,1
Knoxville,Tubificidae,2,0,0,2
Knoxville,Ablabesmyia mallochi,1,0,0,1
Knoxville,Antocha,1,0,0,1
Knoxville,Aulodrilus pluriseta,1,0,0,1
Knoxville,Berosus,1,0,1,0
Knoxville,Calopteryx,1,1,0,0
Knoxville,Ceratopsyche,1,0,1,0
Knoxville,Corynoneura,1,0,0,1
Knoxville,Crambidae,1,1,0,0
Knoxville,Cricotopus,1,0,0,1
Knoxville,Dicrotendipes,1,0,0,1
Knoxville,Dromogomphus,1,1,0,0
Knoxville,Dugesia,1,0,1,0
Knoxville,Elliptio,1,0,1,0
Knoxville,Ephemerellidae,1,1,0,0
Knoxville,Erpobdella,1,0,0,1
Knoxville,Glossiphoniidae,1,1,0,0
Knoxville,Glossosoma,1,1,0,0
Knoxville,Hansonoperla,1,0,1,0
Knoxville,Helichus,1,1,0,0
Knoxville,Helisoma,1,0,1,0
Knoxville,Hemerodromia,1,0,1,0
Knoxville,Hydrobiidae,1,0,0,1
Knoxville,Hydropsyche scalaris,1,0,0,1
Knoxville,Lepidostoma,1,0,0,1
Knoxville,Leptoceridae,1,0,0,1
Knoxville,Limnephilidae,1,0,0,1
Knoxville,Maccaffertium mediopunctatum,1,0,0,1
Knoxville,Oravelia,1,0,1,0
Knoxville,Perlinella,1,0,0,1
Knoxville,Polypedilum fallax,1,0,0,1
Knoxville,Procladius,1,0,0,1
Knoxville,Sisyridae,1,0,0,1
Knoxville,Stenacron,1,1,0,0
Knoxville,Trichoptera,1,1,0,0
Knoxville,Tvetenia discoloripes,1,0,0,1
Little Falls,Stenelmis,1446,551,295,600
Little Falls,Corbicula,588,185,173,230
Little Falls,Cheumatopsyche,259,25,100,134
Little Falls,Macrostemum,182,90,43,49
Little Falls,Hydropsyche,162,45,81,36
Little Falls,Gammarus,159,13,22,124
Little Falls,Baetis intercalaris,109,0,0,109
Little Falls,Heterocloeon,104,41,17,46
Little Falls,Chimarra,99,38,61,0
Little Falls,Tricorythodes,81,45,12,24
Little Falls,Argia,73,35,30,8
Little Falls,Chimarra obscura,70,0,0,70
Little Falls,Isonychia,68,16,50,2
Little Falls,Baetis,65,48,15,2
Little Falls,Brachycentrus,65,42,23,0
Little Falls,Orthocladiinae,46,39,7,0
Little Falls,Anthopotamus,45,27,2,16
Little Falls,Leptoxis,40,24,16,0
Little Falls,Agnetina,33,5,27,1
Little Falls,Petrophila,26,11,9,6
Little Falls,Agnetina capitata,25,0,0,25
Little Falls,Maccaffertium,24,5,10,9
Little Falls,Leucrocuta,20,12,2,6
Little Falls,Serratella deficiens,19,0,0,19
Little Falls,Neoperla,18,15,2,1
Little Falls,Chironomidae,17,16,1,0
Little Falls,Microcylloepus,16,11,1,4
Little Falls,Plauditus,16,2,0,14
Little Falls,Oligochaeta,15,8,7,0
Little Falls,Corydalus,14,10,4,0
Little Falls,Cnephia,13,1,12,0
Little Falls,Bithynia tentaculata,12,9,0,3
Little Falls,Brachycentrus nigrosoma,12,0,0,12
Little Falls,Teloganopsis,10,7,3,0
Little Falls,Bithynia,9,0,9,0
Little Falls,Corydalus cornutus,9,0,0,9
Little Falls,Helicopsyche,9,0,9,0
Little Falls,Baetidae,7,2,0,5
Little Falls,Hydropsyche phalerata,7,0,0,7
Little Falls,Acentrella,6,6,0,0
Little Falls,Heptageniidae,6,5,0,1
Little Falls,Lumbriculidae,6,0,0,6
Little Falls,Protoptila,6,0,0,6
Little Falls,Psephenus,6,3,3,0
Little Falls,Hydrobiidae,5,5,0,0
Little Falls,Potamyia,5,0,0,5
Little Falls,Simulium,5,0,1,4
Little Falls,Lumbricina,4,0,0,4
Little Falls,Procloeon,4,4,0,0
Little Falls,Psephenus herricki,4,0,0,4
Little Falls,Trichoptera,4,0,4,0
Little Falls,Turbellaria,4,0,0,4
Little Falls,Elliptio complanata,3,2,0,1
Little Falls,Erpobdella,3,0,2,1
Little Falls,Hirudinea,3,3,0,0
Little Falls,Hydropsychidae,3,0,3,0
Little Falls,Hydroptilidae,3,2,0,1
Little Falls,Leptoxis carinata,3,0,0,3
Little Falls,Neureclipsis,3,1,1,1
Little Falls,Optioservus,3,2,0,1
Little Falls,Acroneuria,2,0,2,0
Little Falls,Chironomini,2,0,2,0
Little Falls,Empididae,2,0,0,2
Little Falls,Sialis,2,1,1,0
Little Falls,Tubificidae,2,0,0,2
Little Falls,Anisoptera,1,0,1,0
Little Falls,Branchiura sowerbyi,1,0,0,1
Little Falls,Caenis,1,0,0,1
Little Falls,Ceraclea,1,1,0,0
Little Falls,Chironomus,1,0,0,1
Little Falls,Corydalidae,1,0,0,1
Little Falls,Dicrotendipes,1,0,0,1
Little Falls,Dugesia,1,0,1,0
Little Falls,Elimia,1,0,0,1
Little Falls,Ephemerellidae,1,0,0,1
Little Falls,Ephemeroptera,1,0,1,0
Little Falls,Gastropoda,1,1,0,0
Little Falls,Gomphus,1,1,0,0
Little Falls,Goniobasis,1,0,1,0
Little Falls,Hetaerina,1,1,0,0
Little Falls,Lirceus,1,1,0,0
Little Falls,Lumbriculus,1,0,1,0
Little Falls,Nematoda,1,0,0,1
Little Falls,Nigronia,1,1,0,0
Little Falls,Oecetis,1,0,0,1
Little Falls,Orthocladius,1,0,0,1
Little Falls,Phaenopsectra,1,0,0,1
Little Falls,Planaria,1,1,0,0
Little Falls,Pleurocera,1,1,0,0
Little Falls,Polypedilum flavum,1,0,0,1
Little Falls,Tvetenia discoloripes,1,0,0,1
