Reach,Rank,Taxon,Count,2012,2013,2014
KX,78,Hemerodromia,1,0,1,0
KX,79,Hydrobiidae,1,0,0,1
KX,80,Lepidostoma,1,0,0,1
KX,81,Leptoceridae,1,0,0,1
KX,82,Limnephilidae,1,0,0,1
KX,83,Oravelia,1,0,1,0
KX,84,Perlinella,1,0,0,1
KX,85,Sisyridae,1,0,0,1
KX,86,Stenacron,1,1,0,0
KX,87,Trichoptera,1,1,0,0
CR,1,Stenelmis,1871,456,547,868
CR,2,Cheumatopsyche,580,188,157,235
CR,3,Baetis,291,46,178,67
CR,4,Corbicula,200,84,27,89
CR,5,Hydropsyche,173,48,79,46
CR,6,Anthopotamus,172,71,42,59
CR,7,Isonychia,149,112,22,15
CR,8,Maccaffertium,143,71,47,25
CR,9,Heterocloeon,138,10,51,77
CR,10,Brachycentrus,131,60,67,4
CR,11,Agnetina,118,61,45,12
CR,12,Macrostemum,117,46,11,60
CR,13,Tricorythodes,92,10,60,22
CR,14,Chironomidae,79,39,29,11
CR,15,Leucrocuta,76,7,67,2
CR,16,Protoptila,76,0,0,76
CR,17,Petrophila,67,33,26,8
CR,18,Orthotrichia,59,0,59,0
CR,19,Plauditus,53,40,7,6
CR,20,Leptoxis,52,21,28,3
CR,21,Gammarus,42,26,0,16
CR,22,Oligochaeta,41,9,10,22
CR,23,Neoperla,38,21,14,3
CR,24,Chimarra,36,5,4,27
CR,25,Neureclipsis,29,27,2,0
CR,26,Optioservus,29,10,6,13
CR,27,Corydalus,24,7,8,9
CR,28,Argia,20,18,2,0
CR,29,Cnephia,16,0,16,0
CR,30,Teloganopsis,15,1,12,2
CR,31,Stactobiella,13,0,13,0
CR,32,Hemerodromia,12,0,4,8
CR,33,Acentrella,10,5,5,0
CR,34,Psephenus,8,2,3,3
CR,35,Heptageniidae,7,5,0,2
CR,36,Platyhelminthes,7,3,3,1
CR,37,Baetidae,6,1,5,0
CR,38,Helicopsyche,6,3,3,0
CR,39,Simulium,6,0,0,6
CR,40,Macronychus,5,5,0,0
CR,41,Pleurocera,5,5,0,0
CR,42,Ancylidae,4,4,0,0
CR,43,Goniobasis,4,0,4,0
CR,44,Stenacron,4,4,0,0
CR,45,Acerpenna,3,3,0,0
CR,46,Amnicola,3,3,0,0
CR,47,Physa,3,3,0,0
CR,48,Acroneuria,2,1,1,0
CR,49,Ceraclea,2,1,1,0
CR,50,Hydropsychidae,2,2,0,0
CR,51,Hydroptila,2,1,1,0
CR,52,Hydroptilidae,2,1,1,0
CR,53,Microcylloepus,2,0,0,2
CR,54,Taeniopteryx,2,2,0,0
CR,55,Bithynia,1,0,1,0
CR,56,Caenis,1,0,0,1
CR,57,Coenagrionidae,1,1,0,0
CR,58,Dubiraphia,1,0,1,0
CR,59,Ectopria,1,1,0,0
CR,60,Ephemerellidae,1,0,0,1
CR,61,Ephemeroptera,1,0,1,0
CR,62,Gomphus,1,0,1,0
CR,63,Hagenius,1,0,0,1
CR,64,Lepidostoma,1,0,0,1
CR,65,Leptoceridae,1,0,0,1
CR,66,Lymnaeidae,1,1,0,0
CR,67,Macromia,1,1,0,0
CR,68,Mystacides,1,1,0,0
CR,69,Neurocordulia,1,1,0,0
CR,70,Oecetis,1,0,0,1
CR,71,Polycentropus,1,1,0,0
CR,72,Serratella,1,1,0,0
LF,1,Stenelmis,1446,551,295,600
LF,2,Corbicula,588,185,173,230
LF,3,Cheumatopsyche,259,25,100,134
LF,4,Macrostemum,182,90,43,49
LF,5,Baetis,174,48,15,111
LF,6,Chimarra,169,38,61,70
LF,7,Hydropsyche,169,45,81,43
LF,8,Gammarus,159,13,22,124
LF,9,Heterocloeon,104,41,17,46
LF,10,Tricorythodes,81,45,12,24
LF,11,Brachycentrus,77,42,23,12
LF,12,Argia,73,35,30,8
LF,13,Chironomidae,71,55,10,6
LF,14,Isonychia,68,16,50,2
LF,15,Agnetina,58,5,27,26
LF,16,Anthopotamus,45,27,2,16
LF,17,Leptoxis,43,24,16,3
LF,18,Oligochaeta,29,8,8,13
LF,19,Teloganopsis,29,7,3,19
LF,20,Petrophila,26,11,9,6
LF,21,Maccaffertium,24,5,10,9
LF,22,Corydalus,23,10,4,9
LF,23,Bithynia,21,9,9,3
LF,24,Leucrocuta,20,12,2,6
LF,25,Neoperla,18,15,2,1
LF,26,Microcylloepus,16,11,1,4
LF,27,Plauditus,16,2,0,14
LF,28,Cnephia,13,1,12,0
LF,29,Psephenus,10,3,3,4
LF,30,Helicopsyche,9,0,9,0
LF,31,Baetidae,7,2,0,5
LF,32,Acentrella,6,6,0,0
LF,33,Heptageniidae,6,5,0,1
LF,34,Platyhelminthes,6,1,1,4
LF,35,Protoptila,6,0,0,6
LF,36,Hydrobiidae,5,5,0,0
LF,37,Potamyia,5,0,0,5
LF,38,Simulium,5,0,1,4
LF,39,Procloeon,4,4,0,0
LF,40,Trichoptera,4,0,4,0
LF,41,Elliptio,3,2,0,1
LF,42,Erpobdella,3,0,2,1
LF,43,Hirudinea,3,3,0,0
LF,44,Hydropsychidae,3,0,3,0
LF,45,Hydroptilidae,3,2,0,1
LF,46,Neureclipsis,3,1,1,1
LF,47,Optioservus,3,2,0,1
LF,48,Acroneuria,2,0,2,0
LF,49,Empididae,2,0,0,2
LF,50,Sialis,2,1,1,0
LF,51,Anisoptera,1,0,1,0
LF,52,Caenis,1,0,0,1
LF,53,Ceraclea,1,1,0,0
LF,54,Corydalidae,1,0,0,1
LF,55,Elimia,1,0,0,1
LF,56,Ephemerellidae,1,0,0,1
LF,57,Ephemeroptera,1,0,1,0
LF,58,Gastropoda,1,1,0,0
LF,59,Gomphus,1,1,0,0
LF,60,Goniobasis,1,0,1,0
LF,61,Hetaerina,1,1,0,0
LF,62,Lirceus,1,1,0,0
LF,63,Nematoda,1,0,0,1
LF,64,Nigronia,1,1,0,0
LF,65,Oecetis,1,0,0,1
LF,66,Pleurocera,1,1,0,0
